,Name,Price,Team 1,Position,Round,Team 2,Date,Score,id,pl_pos_id,is_selected
115,Rory Sloane,580000,Crows,MI,19,Bulldogs,Sat 24 Jul 12:00pm,75.81818181818181,R:19_P:Rory Sloane,R:19_P:Rory Sloane_MI,1
116,Rory Sloane,580000,Crows,MI,22,Demons,Sat 14 Aug 12:00pm,81.45454545454545,R:22_P:Rory Sloane,R:22_P:Rory Sloane_MI,1
117,Todd Goldstein,760000,Kangaroos,RU,1,Power,Sun 21 Mar 1:10pm,96.54545454545455,R:1_P:Todd Goldstein,R:1_P:Todd Goldstein_RU,1
118,Todd Goldstein,760000,Kangaroos,RU,3,Bulldogs,Fri 2 Apr 4:20pm,75.45454545454545,R:3_P:Todd Goldstein,R:3_P:Todd Goldstein_RU,1
119,Todd Goldstein,760000,Kangaroos,RU,4,Crows,Sun 11 Apr 1:10pm,105.54545454545455,R:4_P:Todd Goldstein,R:4_P:Todd Goldstein_RU,1
120,Todd Goldstein,760000,Kangaroos,RU,22,Swans,Sat 14 Aug 12:00pm,78.63636363636364,R:22_P:Todd Goldstein,R:22_P:Todd Goldstein_RU,1
121,Todd Goldstein,760000,Kangaroos,RU,2,Suns,Sat 27 Mar 7:10pm,92.63636363636364,R:2_P:Todd Goldstein,R:2_P:Todd Goldstein_RU,1
122,Todd Goldstein,760000,Kangaroos,RU,5,Cats,Sun 18 Apr 4:40pm,91.63636363636364,R:5_P:Todd Goldstein,R:5_P:Todd Goldstein_RU,1
123,Todd Goldstein,760000,Kangaroos,RU,21,Tigers,Sat 7 Aug 12:00pm,92.36363636363636,R:21_P:Todd Goldstein,R:21_P:Todd Goldstein_RU,1
124,Todd Goldstein,760000,Kangaroos,RU,23,Crows,Sat 21 Aug 12:00pm,105.54545454545455,R:23_P:Todd Goldstein,R:23_P:Todd Goldstein_RU,1
125,Ben Cunnington,503000,Kangaroos,MI,3,Bulldogs,Fri 2 Apr 4:20pm,75.36363636363636,R:3_P:Ben Cunnington,R:3_P:Ben Cunnington_MI,1
126,Ben Cunnington,503000,Kangaroos,MI,4,Crows,Sun 11 Apr 1:10pm,72.72727272727273,R:4_P:Ben Cunnington,R:4_P:Ben Cunnington_MI,1
127,Ben Cunnington,503000,Kangaroos,MI,18,Bombers,Sat 17 Jul 12:00pm,65.36363636363636,R:18_P:Ben Cunnington,R:18_P:Ben Cunnington_MI,1
128,Ben Cunnington,503000,Kangaroos,MI,20,Cats,Sat 31 Jul 12:00pm,65.63636363636364,R:20_P:Ben Cunnington,R:20_P:Ben Cunnington_MI,1
