,id,pl_pos_id,Round,Position,is_selected
251,R:3_P:Joel Smith,R:3_P:Joel Smith_DE,3,DE,1
252,R:18_P:Joel Smith,R:18_P:Joel Smith_DE,18,DE,1
253,R:5_P:Joel Smith,R:5_P:Joel Smith_DE,5,DE,1
254,R:20_P:Joel Smith,R:20_P:Joel Smith_DE,20,DE,1
255,R:11_P:Joel Smith,R:11_P:Joel Smith_DE,11,DE,1
256,R:22_P:Joel Smith,R:22_P:Joel Smith_DE,22,DE,1
257,R:10_P:Joel Smith,R:10_P:Joel Smith_DE,10,DE,1
258,R:2_P:Joel Smith,R:2_P:Joel Smith_DE,2,DE,1
259,R:7_P:Joel Smith,R:7_P:Joel Smith_DE,7,DE,1
260,R:15_P:Joel Smith,R:15_P:Joel Smith_DE,15,DE,1
261,R:17_P:Joel Smith,R:17_P:Joel Smith_DE,17,DE,1
262,R:19_P:Joel Smith,R:19_P:Joel Smith_DE,19,DE,1
263,R:21_P:Joel Smith,R:21_P:Joel Smith_DE,21,DE,1
264,R:1_P:Neville Jetta,R:1_P:Neville Jetta_DE,1,DE,1
265,R:4_P:Neville Jetta,R:4_P:Neville Jetta_DE,4,DE,1
266,R:23_P:Neville Jetta,R:23_P:Neville Jetta_DE,23,DE,1
267,R:6_P:Neville Jetta,R:6_P:Neville Jetta_DE,6,DE,1
268,R:8_P:Neville Jetta,R:8_P:Neville Jetta_DE,8,DE,1
269,R:9_P:Neville Jetta,R:9_P:Neville Jetta_DE,9,DE,1
270,R:12_P:Neville Jetta,R:12_P:Neville Jetta_DE,12,DE,1
271,R:13_P:Neville Jetta,R:13_P:Neville Jetta_DE,13,DE,1
272,R:16_P:Neville Jetta,R:16_P:Neville Jetta_DE,16,DE,1
273,R:3_P:Neville Jetta,R:3_P:Neville Jetta_DE,3,DE,1
274,R:18_P:Neville Jetta,R:18_P:Neville Jetta_DE,18,DE,1
275,R:5_P:Neville Jetta,R:5_P:Neville Jetta_DE,5,DE,1
276,R:20_P:Neville Jetta,R:20_P:Neville Jetta_DE,20,DE,1
