,Name,Price,Team 1,Position,Round,Team 2,Score,id,pl_pos_id,is_selected
116,Patrick Ryder,575000,Saints,RU,18,Power,86.7,R:18_P:Patrick Ryder,R:18_P:Patrick Ryder_RU,1
117,Patrick Ryder,575000,Saints,RU,10,Bulldogs,63.35,R:10_P:Patrick Ryder,R:10_P:Patrick Ryder_RU,1
118,Patrick Ryder,575000,Saints,RU,15,Tigers,49.45,R:15_P:Patrick Ryder,R:15_P:Patrick Ryder_RU,1
119,Patrick Ryder,575000,Saints,RU,16,Magpies,64.9,R:16_P:Patrick Ryder,R:16_P:Patrick Ryder_RU,1
120,Patrick Ryder,575000,Saints,RU,17,Lions,65.5,R:17_P:Patrick Ryder,R:17_P:Patrick Ryder_RU,1
121,Callum Wilkie,459000,Saints,DE,18,Power,49.0,R:18_P:Callum Wilkie,R:18_P:Callum Wilkie_DE,1
122,Callum Wilkie,459000,Saints,DE,20,Blues,68.0,R:20_P:Callum Wilkie,R:20_P:Callum Wilkie_DE,1
123,Callum Wilkie,459000,Saints,DE,23,Dockers,53.5,R:23_P:Callum Wilkie,R:23_P:Callum Wilkie_DE,1
124,Callum Wilkie,459000,Saints,DE,17,Lions,59.0,R:17_P:Callum Wilkie,R:17_P:Callum Wilkie_DE,1
125,Callum Wilkie,459000,Saints,DE,19,Eagles,53.0,R:19_P:Callum Wilkie,R:19_P:Callum Wilkie_DE,1
126,Callum Wilkie,459000,Saints,DE,21,Swans,62.0,R:21_P:Callum Wilkie,R:21_P:Callum Wilkie_DE,1
127,Callum Wilkie,459000,Saints,DE,22,Cats,46.5,R:22_P:Callum Wilkie,R:22_P:Callum Wilkie_DE,1
128,Jarryn Geary,382000,Saints,DE,11,Kangaroos,61.333333333333336,R:11_P:Jarryn Geary,R:11_P:Jarryn Geary_DE,1
129,Jarryn Geary,382000,Saints,DE,12,Swans,30.363636363636363,R:12_P:Jarryn Geary,R:12_P:Jarryn Geary_DE,1
130,Jarryn Geary,382000,Saints,DE,13,Crows,38.0,R:13_P:Jarryn Geary,R:13_P:Jarryn Geary_DE,1
131,Jarryn Geary,382000,Saints,DE,10,Bulldogs,52.95454545454545,R:10_P:Jarryn Geary,R:10_P:Jarryn Geary_DE,1
132,Jarryn Geary,382000,Saints,DE,15,Tigers,55.90909090909091,R:15_P:Jarryn Geary,R:15_P:Jarryn Geary_DE,1
133,Jarryn Geary,382000,Saints,DE,16,Magpies,56.54545454545455,R:16_P:Jarryn Geary,R:16_P:Jarryn Geary_DE,1
134,Dylan Roberton,170000,Saints,DE,2,Demons,46.45454545454545,R:2_P:Dylan Roberton,R:2_P:Dylan Roberton_DE,1
135,Dylan Roberton,170000,Saints,DE,4,Eagles,45.18181818181818,R:4_P:Dylan Roberton,R:4_P:Dylan Roberton_DE,1
136,Dylan Roberton,170000,Saints,DE,5,Tigers,33.09090909090909,R:5_P:Dylan Roberton,R:5_P:Dylan Roberton_DE,1
137,Dylan Roberton,170000,Saints,DE,7,Hawks,41.54545454545455,R:7_P:Dylan Roberton,R:7_P:Dylan Roberton_DE,1
138,Dylan Roberton,170000,Saints,DE,11,Kangaroos,40.583333333333336,R:11_P:Dylan Roberton,R:11_P:Dylan Roberton_DE,1
139,Dylan Roberton,170000,Saints,DE,12,Swans,34.54545454545455,R:12_P:Dylan Roberton,R:12_P:Dylan Roberton_DE,1
140,Dylan Roberton,170000,Saints,DE,18,Power,34.90909090909091,R:18_P:Dylan Roberton,R:18_P:Dylan Roberton_DE,1
